city,totalCases
AGUIAR,19
ALAGOA GRANDE,547
ALAGOA NOVA,204
ALAGOINHA,577
ALCANTIL,22
ALGODÃO DE JANDAÍRA,4
ALHANDRA,397
AMPARO,12
APARECIDA,37
ARARA,130
ARARUNA,149
ARAÇAGI,345
AREIA DE BARAÚNAS,2
AREIA,203
AREIAL,34
AROEIRAS,109
ASSUNÇÃO,27
BANANEIRAS,97
BARAÚNA,120
BARRA DE SANTA ROSA,30
BARRA DE SANTANA,70
BARRA DE SÃO MIGUEL,12
BAYEUX,1071
BAÍA DA TRAIÇÃO,301
BELÉM DO BREJO DO CRUZ,13
BELÉM,490
BERNARDINO BATISTA,3
BOA VENTURA,2
BOA VISTA,61
BOM JESUS,6
BOM SUCESSO,7
BONITO DE SANTA FÉ,6
BOQUEIRÃO,171
BORBOREMA,7
BREJO DO CRUZ,158
BREJO DOS SANTOS,14
CASO SEM LOCALIZAÇÃO DEFINIDA,687
CAAPORÃ,807
CABACEIRAS,19
CABEDELO,2015
CACHOEIRA DOS ÍNDIOS,48
CACIMBA DE AREIA,7
CACIMBA DE DENTRO,73
CACIMBAS,39
CAIÇARA,298
CAJAZEIRAS,794
CAJAZEIRINHAS,1
CALDAS BRANDÃO,111
CAMALAÚ,1
CAMPINA GRANDE,8136
CAPIM,127
CARAÚBAS,29
CARRAPATEIRA,27
CASSERENGUE,153
CATINGUEIRA,15
CATOLÉ DO ROCHA,183
CATURITÉ,63
CONCEIÇÃO,122
CONDADO,92
CONDE,500
CONGO,41
COREMAS,47
COXIXOLA,12
CRUZ DO ESPÍRITO SANTO,236
CUBATI,56
CUITEGI,189
CUITÉ DE MAMANGUAPE,72
CUITÉ,125
CURRAL VELHO,1
CURRAL DE CIMA,15
DAMIÃO,3
DESTERRO,42
DIAMANTE,3
DONA INÊS,42
DUAS ESTRADAS,44
EMAS,5
ESPERANÇA,316
FAGUNDES,59
FREI MARTINHO,4
GADO BRAVO,78
GUARABIRA,2679
GURINHÉM,249
GURJÃO,19
IBIARA,13
IGARACY,4
IMACULADA,26
INGÁ,438
ITABAIANA,813
ITAPORANGA,59
ITAPOROROCA,308
ITATUBA,197
JACARAÚ,171
JERICÓ,5
JOCA CLAUDINO,2
JOÃO PESSOA,16566
JUAREZ TÁVORA,212
JUAZEIRINHO,127
JUNCO DO SERIDÓ,31
JURIPIRANGA,335
JURU,14
LAGOA SECA,498
LAGOA DE DENTRO,60
LAGOA,4
LASTRO,15
LIVRAMENTO,47
LOGRADOURO,92
LUCENA,220
MALTA,26
MAMANGUAPE,1638
MANAÍRA,7
MARCAÇÃO,111
MARI,591
MARIZÓPOLIS,8
MASSARANDUBA,222
MATARACA,121
MATINHAS,51
MATO GROSSO,7
MATURÉIA,25
MOGEIRO,96
MONTADAS,35
MONTEIRO,144
MULUNGU,229
MÃE D'ÁGUA,15
NATUBA,45
NAZAREZINHO,10
NOVA FLORESTA,26
NOVA OLINDA,7
NOVA PALMEIRA,40
OLHO D'ÁGUA,35
OLIVEDOS,44
OURO VELHO,0
PARARI,4
PASSAGEM,30
PATOS,1952
PAULISTA,70
PEDRA LAVRADA,26
PEDRAS DE FOGO,1071
PEDRO RÉGIS,30
PIANCÓ,95
PICUÍ,125
PILAR,204
PILÕES,42
PILÕEZINHOS,182
PIRPIRITUBA,139
PITIMBU,539
POCINHOS,69
POMBAL,186
POÇO DANTAS,3
PRATA,2
PRINCESA ISABEL,46
PUXINANÃ,205
QUEIMADAS,674
QUIXABA,26
REMÍGIO,183
RIACHO DE SANTO ANTÔNIO,19
RIACHO DOS CAVALOS,5
RIACHÃO DO BACAMARTE,193
RIACHÃO DO POÇO,43
RIACHÃO,35
RIO TINTO,670
SALGADINHO,11
SALGADO DE SÃO FÉLIX,126
SANTA CECÍLIA,45
SANTA CRUZ,14
SANTA HELENA,10
SANTA INÊS,25
SANTA LUZIA,180
SANTA RITA,1490
SANTA TERESINHA,40
SANTANA DE MANGUEIRA,5
SANTANA DOS GARROTES,6
SANTO ANDRÉ,5
SAPÉ,651
SERRA BRANCA,95
SERRA GRANDE,8
SERRA REDONDA,157
SERRA DA RAIZ,14
SERRARIA,45
SERTÃOZINHO,62
SOBRADO,102
SOLEDADE,101
SOLÂNEA,204
SOSSÊGO,8
SOUSA,664
SUMÉ,93
SÃO BENTINHO,24
SÃO BENTO,710
SÃO DOMINGOS DO CARIRI,29
SÃO DOMINGOS,0
SÃO FRANCISCO,12
SÃO JOSÉ DA LAGOA TAPADA,18
SÃO JOSÉ DE CAIANA,32
SÃO JOSÉ DE ESPINHARAS,11
SÃO JOSÉ DE PIRANHAS,77
SÃO JOSÉ DE PRINCESA,1
SÃO JOSÉ DO BONFIM,52
SÃO JOSÉ DO BREJO DO CRUZ,5
SÃO JOSÉ DO SABUGI,169
SÃO JOSÉ DOS CORDEIROS,5
SÃO JOSÉ DOS RAMOS,136
SÃO JOÃO DO CARIRI,44
SÃO JOÃO DO RIO DO PEIXE,102
SÃO JOÃO DO TIGRE,4
SÃO MAMEDE,33
SÃO MIGUEL DE TAIPU,80
SÃO SEBASTIÃO DE LAGOA DE ROÇA,140
SÃO SEBASTIÃO DO UMBUZEIRO,5
SÃO VICENTE DO SERIDÓ,28
TACIMA,91
TAPEROÁ,51
TAVARES,32
TEIXEIRA,88
TENÓRIO,13
TRIUNFO,15
UIRAÚNA,30
UMBUZEIRO,52
VIEIRÓPOLIS,4
VISTA SERRANA,2
VÁRZEA,8
ZABELÊ,8
"ÁGUA BRANCA",37
